TotalMolarFlow,FeedTemperature,ColumnRefluxRatio ,GlycerolMoleFraction
4.5,75,2.4,0.449697807
5,35,1.7,0.44581709
5,35,1.7875,0.445792559
5,35,1.875,0.445768524
5,35,1.9625,0.445744992
5,35,2.05,0.445721948
5,35,2.1375,0.445699376
5,35,2.225,0.445677227
5,35,2.3125,0.445655563
5,35,2.4,0.445634331
5,40,1.7,0.445900572
5,40,1.7875,0.445874308
5,40,1.875,0.445848639
5,40,1.9625,0.445823519
5,40,2.05,0.445798932
5,40,2.1375,0.445774861
5,40,2.225,0.44575129
5,40,2.3125,0.445728206
5,40,2.4,0.445705593
5,45,1.7,0.445989999
5,45,1.7875,0.445961898
5,45,1.875,0.445934441
5,45,1.9625,0.445907585
5,45,2.05,0.445881312
5,45,2.1375,0.445855603
5,45,2.225,0.445830441
5,45,2.3125,0.44580581
5,45,2.4,0.445781694
5,50,1.7,0.446085915
5,50,1.7875,0.446055925
5,50,1.875,0.446026509
5,50,1.9625,0.445997752
5,50,2.05,0.445969596
5,50,2.1375,0.445942095
5,50,2.225,0.445915193
5,50,2.3125,0.445888872
5,50,2.4,0.445863113
5,55,1.7,0.446189116
5,55,1.7875,0.446156923
5,55,1.875,0.446125361
5,55,1.9625,0.446094521
5,55,2.05,0.446064381
5,55,2.1375,0.446034919
5,55,2.225,0.446006113
5,55,2.3125,0.445977942
5,55,2.4,0.445950387
5,60,1.7,0.446300215
5,60,1.7875,0.446265607
5,60,1.875,0.446231689
5,60,1.9625,0.446198566
5,60,2.05,0.446166211
5,60,2.1375,0.446134599
5,60,2.225,0.446103706
5,60,2.3125,0.44607351
5,60,2.4,0.446043989
5,65,1.7,0.446419969
5,65,1.7875,0.446382715
5,65,1.875,0.446346213
5,65,1.9625,0.446310584
5,65,2.05,0.446275799
5,65,2.1375,0.44624183
5,65,2.225,0.446208651
5,65,2.3125,0.446176236
5,65,2.4,0.446144561
5,70,1.7,0.446549194
5,70,1.7875,0.446509051
5,70,1.875,0.446469714
5,70,1.9625,0.446431336
5,70,2.05,0.446393886
5,70,2.1375,0.446357333
5,70,2.225,0.446321647
5,70,2.3125,0.4462868
5,70,2.4,0.446252765
5,75,1.7,0.446712512
5,75,1.7875,0.446669425
5,75,1.875,0.446627116
5,75,1.9625,0.446585833
5,75,2.05,0.446545545
5,75,2.1375,0.446506221
5,75,2.225,0.446467829
5,75,2.3125,0.446430341
5,75,2.4,0.446393729
2.59281183,60,2,0.475962934
